fqcn	textChars
star.annotation.StarBeanBounded.IntervalType	3032
star.annotation.StarBeanBounded.Util	1446
star.assistant.annotation.StarAssistant	1208
star.assistant.annotation.StarAssistantAnnotationProcessor	1747
star.assistant.annotation.StarAssistantTask	2605
star.assistant.Condition.ConditionState	2700
star.assistant.Condition	9141
star.assistant.ConditionTrigger	6887
star.assistant.Content	2167
star.assistant.CSOCondition	6319
star.assistant.CSOConditionTrigger	6913
star.assistant.CSOLookupConditionTrigger	6467
star.assistant.HTMLFileContent	1600
star.assistant.HTMLFragmentContent	1692
star.assistant.LookupConditionTrigger	5264
star.assistant.LoopingCondition	4832
star.assistant.LoopIterationTrigger	7685
star.assistant.LoopTask	3254
star.assistant.SimulationAssistant	3961
star.assistant.SimulationAssistantController	1964
star.assistant.SimulationAssistantLibrary	3631
star.assistant.SimulationAssistantLoader.CompilationTools	1432
star.assistant.SimulationAssistantLoader.DynamicClassLoader	3388
star.assistant.SimulationAssistantLoader	2734
star.assistant.Task	12936
star.assistant.Task.TaskState	2732
star.assistant.TaskConditionTrigger	5251
star.assistant.TaskContentListener	962
star.assistant.TaskContentLoader	1417
star.assistant.TaskController	6186
star.assistant.ui.AbstractAssistantController	3868
star.assistant.ui.AbstractTaskController	20289
star.assistant.ui.AssistantTopComponent	10805
star.assistant.ui.BasicTaskController	3862
star.assistant.ui.ConditionTabbedPane.CollapsibleTab	10519
star.assistant.ui.ConditionTabbedPane.ConditionSetData	1589
star.assistant.ui.ConditionTabbedPane	13631
star.assistant.ui.ConditionTabbedPane.UIPaletteScheme	3614
star.assistant.ui.ConditionTabController	3269
star.assistant.ui.ConditionTabView.ConditionPanel	10112
star.assistant.ui.ConditionTabView.ContextButton	11322
star.assistant.ui.ConditionTabView.ContextFlow	8719
star.assistant.ui.ConditionTabView	10148
star.assistant.ui.FunctionTaskController	3398
star.assistant.ui.HTMLContentView	12851
star.assistant.ui.HTMLFileContentView	9439
star.assistant.ui.HTMLFragmentContentView	9515
star.assistant.ui.HTMLViewPane	11367
star.assistant.ui.LoopTaskView	9948
star.assistant.ui.OpenAssistantAction	5986
star.assistant.ui.PaletteSwapTabbedPaneUI	10473
star.assistant.ui.SimulationAssistantView	10768
star.assistant.ui.TaskContentView	2429
star.assistant.ui.TaskContentViewFactory	1910
star.assistant.ui.TaskView.ChevronButton	9955
star.assistant.ui.TaskView	13968
star.assistant.watcher.CSOWatcher	5678
star.assistant.watcher.ObjectChangeEvent	3797
star.assistant.watcher.ObjectChangeListener	2901
star.assistant.watcher.ObjectWatcher	4090
star.atomic.AtomicModel	6330
star.atomic.ui.AtomicModelNode	6026
star.automation.actions.ReorderAutomationBlocksAction	4755
star.automation.AutomationBlock	4412
star.automation.AutomationBlockManager	6566
star.automation.AutomationChain	5768
star.automation.AutomationPredicate	4181
star.automation.AutomationPredicateManager	5341
star.automation.AutomationPredicateProvider	863
star.automation.AutomationSolverStoppingCriterionPredicate	5147
star.automation.AutomationWorkflow	6652
star.automation.BlocksReorderingTableData	3265
star.automation.ClearSolutionAutomationBlock	8926
star.automation.ConditionAutomationBlock	9140
star.automation.InitializeSolutionAutomationBlock	4461
star.automation.LoopAutomationBlock	8605
star.automation.MeshAutomationBlock	4303
star.automation.RemoveInvalidCellsAutomationBlock.FunctionOperationMode	3893
star.automation.RemoveInvalidCellsAutomationBlock	15411
star.automation.SetActiveStageAutomationBlock	4996
star.automation.SimDriverWorkflow	4400
star.automation.SimDriverWorkflowManager	9529
star.automation.SimDriverWorkflowManager.InvalidWorkflowObservable	1510
star.automation.StopWorkflowAutomationBlock	4774
star.automation.SubWorkflowAutomationBlock	6052
star.automation.ui.AutomationBlockManagerNode	7117
star.automation.ui.AutomationBlockNode	8292
star.automation.ui.AutomationPredicateStringEditor	3213
star.automation.ui.BlocksReorderDialogBase.BlocksReorderPanelBase	9727
star.automation.ui.BlocksReorderDialogBase	1894
star.automation.ui.ClearSolutionAutomationBlockNode	6451
star.automation.ui.ConditionAutomationBlockNode	7350
star.automation.ui.LoopAutomationBlockNode	7290
star.automation.ui.PredicateDisplayHandler	1056
star.automation.ui.RemoveInvalidCellsAutomationBlockNode	6125
star.automation.ui.ReorderAutomationBlocksDialog	2612
star.automation.ui.SimDriverWorkflowManagerNode	7284
star.automation.ui.SimDriverWorkflowManagerNode.ValidateSimulationOperationsAction	5257
star.automation.ui.SimDriverWorkflowNode.ActivateWorkflowIconAction	5844
star.automation.ui.SimDriverWorkflowNode	8436
star.automation.ui.SimDriverWorkflowNode.ResetWorkflowIconAction	5402
star.automation.ui.SimDriverWorkflowNode.RunWorkflowIconAction	5711
star.automation.ui.SimDriverWorkflowNode.StepWorkflowIconAction	5712
star.automation.ui.SimDriverWorkflowNode.StopIconAction	5097
star.automation.ui.SimDriverWorkflowNode.ValidateWorkflowAction	4251
star.automation.ui.SimDriverWorkflowValidationTab	14650
star.automation.ui.SwitchPredicateAction	4011
star.automation.WorkflowNotifier	1402
star.automation.WorkflowNotifier.OnErrorNotifier	1564
star.automation.WorkflowNotifier.WorkflowExecuteRunnableSolverNotifier	1708
star.automation.WorkflowNotifier.WorkflowExecutionCompletedNotifier	1681
star.automation.WorkflowNotifier.WorkflowReceiver	1600
star.base.generic.GenericObject	4594
star.base.generic.GenericObjectManager	6380
star.base.generic.ui.GenericObjectManagerNode	5858
star.base.generic.ui.GenericObjectNode	5732
star.base.neo.AssociationBase	4381
star.base.neo.AssociationManagerBase	5219
star.base.neo.Avatar	3624
star.base.neo.AvatarIcon	1332
star.base.neo.BaseSettings	7824
star.base.neo.BaseSettings.ListProperty	1319
star.base.neo.BlockCopyManager	1035
star.base.neo.BooleanVector	2392
star.base.neo.BooleanVectorArg	1074
star.base.neo.BooleanVectorEditor	3294
star.base.neo.BoundedScalarRange	3346
star.base.neo.ByteSizeFormatter	1144
star.base.neo.ClassLocalizer	1210
star.base.neo.ClientNotifyHandler.FinishedServerCallObserver	1302
star.base.neo.ClientNotifyHandler	3313
star.base.neo.ClientNotifyHandler.StartedServerCallObserver	1293
star.base.neo.ClientServerObject.ChildListener	1289
star.base.neo.ClientServerObject	26980
