fqcn	estrato	chars	tok_o200k	tok_anth
star.meshing.ui.SurfaceMeshWidgetSetsPanel	S5	12886	2656	2943
star.meshing.ui.SurfaceMeshWidgetRepairButtons.CreateQuadButton	S5	12679	2613	2845
star.meshing.geometryrepair.ui.GeometryRepairWidgetRepairButtons.SelectiveRepairButton	S5	12083	2456	2698
star.coremodule.ui.ExportEnvironmentMapFileChooser	S5	12888	2593	2816
star.meshing.ui.SurfaceMeshWidgetRepairButtons.PatchFillerButton	S5	13461	2776	3010
star.meshing.ui.SurfaceMeshWidgetRepairButtons.UndoButton	S5	13113	2696	2932
star.meshing.SimpleSpherePart	S5	12630	2622	2774
star.starice.StarIceAutoTimestepSettingsValve	S5	15606	3239	3465
star.meshing.ui.SurfaceMeshWidgetDisplayButtons.ShrinkDisplayedFacesButton	S5	12775	2635	2866
star.coremodule.ui.StarExplorerPanel	S5	14973	2988	3259
star.meshing.geometryrepair.ui.GeometryRepairWidgetSelectButtons.SelectZoneButton	S5	12038	2447	2674
star.meshing.ui.SurfaceDiagnosticsPanel	S5	13945	2776	3034
star.common.ui.RemoveInvalidCellsEditorPanel	S5	12412	2554	2767
star.meshing.ui.SurfaceMeshWidgetIconButton	S5	15379	3132	3382
star.common.RegionManager	S5	20155	3930	4095
star.mdx.MdxSurrogate	S5	17082	3670	3870
star.cadmodeler.ImportCadFileFeature	S5	19592	4174	4379
